theta,suc_DP,suc_BDP,eps_DP,eps_BDP
0.02,0.622285,0.8552,0.4992582441662164,1.775981879759219
0.068,0.624975,0.717925,0.510718958521426,0.934192113743208
0.116,0.62438,0.68037,0.5081811633259709,0.7554726910178556
0.164,0.622535,0.64546,0.5003220024989319,0.5991420663139165
0.212,0.624715,0.63019,0.5096098084201317,0.5330320009873193
0.26,0.621695,0.621655,0.4967488702035742,0.49657879870132804
0.30800000000000005,0.623995,0.623845,0.5065399143429928,0.5059006475904385
0.35600000000000004,0.62343,0.62343,0.5041325364375517,0.5041325364375517
0.404,0.62302,0.62302,0.502386485357993,0.502386485357993
0.452,0.620265,0.620265,0.4906731650514294,0.4906731650514294
0.5,0.62334,0.62334,0.5037491925438943,0.5037491925438943
